Title,Price,Area,BHK,Bathrooms,Furnished,Balconies,Floor,Ownership,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Is Luxury,Description,Property Image
"3BHK Multistorey Apartment for Rent in Vasant Sagar at Thakur Village, Kandivali East","75,000",1200 12800,3,3,Furnished,,1,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2000,F,"3 BHK, Multistorey Apartment is available for Rent in Thakur Village, Mumbai for 75,000",68648059_3_hatsAppImage20230817at5.01.57PM.jpeg
2BHK Multistorey Apartment for Rent in Arkade Earth at Kanjurmarg East,"50,000",1250 12800,2,2,Unfurnished,,2,,West,"Garden/Park, Pool",Rent,Apartment,Mumbai,2000,F,"2 BHK, Multistorey Apartment is available for Rent in Kanjurmarg East, Mumbai for 50,000",66466411_5_PropertyImage497-96836630277676.jpg
1BHK Multistorey Apartment for Rent in Panchsheel Residency at Mahavir Nagar Kandivali West,"36,000",600 12800,1,1,Furnished,,4,Leasehold,East,Main Road,Rent,Apartment,Mumbai,1990,F,"1 BHK, Multistorey Apartment is available for Rent in Mahavir Nagar Kandivali West, Mumbai for 36,000",68590331_8_PropertyImage311-2493765796959.jpg
4BHK Multistorey Apartment for Rent in Trump Tower at Worli,3 Lac,2250 12800,4,5,Semi-Furnished,,59,,North - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1990,F,"4 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 3.0 Lac(s)",67356869_2_PropertyImage463-9708580936591.jpg
4BHK Multistorey Apartment for Rent in Mulund West,1.6 Lac,2600 12800,4,4,Semi-Furnished,1,25,,East,Garden/Park,Rent,Apartment,Mumbai,2012,F,"4 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 1.55 Lac(s)",68245957_6_MG20230721WA0012.jpg
"2BHK Multistorey Apartment for Rent in Aangan CHS at Thakur Village, Kandivali East","46,000",795 12800,2,2,Furnished,,4,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2000,F,"2 BHK, Multistorey Apartment is available for Rent in Thakur Village, Mumbai for 46,000",
1BHK Multistorey Apartment for Rent in Piramal Revanta at Mulund West,"35,000",650 12800,1,2,Unfurnished,,25,,West,"Garden/Park, Pool",Rent,Apartment,Mumbai,2004,F,"1 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 35,000",2023/08/11/Project-Photo-80-Piramal-Revanta-Mumbai-5098339_1500_2000.jpg
2BHK Multistorey Apartment for Rent in Dadar East,1 Lac,1300 12800,2,2,Furnished,,2,,North - East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2009,F,"2 BHK, Multistorey Apartment is available for Rent in Dadar East, Mumbai for 1.0 Lac(s)",61940181_3_1675935156455-572.jpg
3BHK Multistorey Apartment for Rent in Hiranandani Gardens,1.3 Lac,1650 12800,3,3,Unfurnished,,11,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2009,F,"3 BHK, Multistorey Apartment is available for Rent in Hiranandani Gardens, Mumbai for 1.30 Lac(s)",65201705_2_hatsAppImage20230119at12.19.13PM.jpeg
2BHK Multistorey Apartment for Rent in Powai,"72,000",890 12800,2,2,Unfurnished,,4,,East,,Rent,Apartment,Mumbai,2006,F,"2 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 72,000",67400029_1_1686055810909-705.jpg
"3BHK Multistorey Apartment for Rent in Evershine Crown at Thakur Village, Kandivali East","65,000",1350 12800,3,2,Unfurnished,,7,,South -West,Main Road,Rent,Apartment,Mumbai,2001,F,"3 BHK, Multistorey Apartment is available for Rent in Thakur Village, Mumbai for 65,000",67302365_1_1686665293803-3982.jpg
